x,y
0.0,0.0609574830894906
0.10101010101010101,0.3507874881518268
0.20202020202020202,-0.04889411128426477
0.30303030303030304,0.31602342926749866
0.40404040404040403,0.8755767492575897
0.5050505050505051,0.9806022117706308
0.6060606060606061,0.15676297861720961
0.7070707070707071,0.35576216083653117
0.8080808080808081,0.269841452041804
0.9090909090909091,0.8380627214716728
1.0101010101010102,0.4459524631552906
1.1111111111111112,1.0593109803847645
1.2121212121212122,1.391094069258925
1.3131313131313131,1.0473160523088836
1.4141414141414141,1.6256472965175717
1.5151515151515151,1.624186896051136
1.6161616161616161,1.0449398750142147
1.7171717171717171,1.7877966227607756
1.8181818181818181,1.5292847544707766
1.9191919191919191,1.8173133556040026
2.0202020202020203,1.7604321183276028
2.121212121212121,2.3529776231877166
2.2222222222222223,2.1507666834271095
2.323232323232323,1.911473609402279
2.4242424242424243,2.477821245880638
2.525252525252525,2.8616302426661657
2.6262626262626263,2.393898865114042
2.727272727272727,2.393622187991345
2.8282828282828283,2.693848337349607
2.929292929292929,3.4529533091254456
3.0303030303030303,3.601497537270551
3.131313131313131,3.3381735424085073
3.2323232323232323,3.71572416256931
3.3333333333333335,3.7482343788851487
3.4343434343434343,3.2879362839381012
3.5353535353535355,3.0460139459996047
3.6363636363636362,3.8204567193918795
3.7373737373737375,3.8067826522398787
3.8383838383838382,3.672261554058932
3.9393939393939394,3.6094593452017376
4.040404040404041,3.928227940055539
4.141414141414141,4.104142439853144
4.242424242424242,3.9655069363255158
4.343434343434343,4.0935856725048625
4.444444444444445,4.393668123632018
4.545454545454545,4.978095240990857
4.646464646464646,4.749968131826032
4.747474747474747,4.487660182393399
4.848484848484849,4.58205785643317
4.94949494949495,4.895041440121286
5.05050505050505,4.6969974640310355
5.151515151515151,4.793169604766839
5.252525252525253,5.269367324306183
5.353535353535354,4.858210596072319
5.454545454545454,5.434848093367358
5.555555555555555,5.390167010420956
5.656565656565657,5.905789602744462
5.757575757575758,6.053671225298164
5.858585858585858,6.087897364812775
5.959595959595959,6.186612456101856
6.0606060606060606,5.9089262095847745
6.161616161616162,6.363377927298483
6.262626262626262,6.070444659374443
6.363636363636363,6.450989007479014
6.4646464646464645,6.255615054324314
6.565656565656566,6.499830624772804
6.666666666666667,6.140501383662594
6.767676767676767,6.4588872742979735
6.8686868686868685,7.4346099960951495
6.96969696969697,6.646398014923059
7.070707070707071,7.300480083843867
7.171717171717171,7.352289401573659
7.2727272727272725,7.541454240052251
7.373737373737374,7.343843706498691
7.474747474747475,7.590744004269711
7.575757575757575,7.056120884476967
7.6767676767676765,7.163842242154357
7.777777777777778,7.416549009334272
7.878787878787879,7.461021075198128
7.979797979797979,7.499923193295713
8.080808080808081,7.635960718338707
8.181818181818182,8.245751459987366
8.282828282828282,7.908206072736936
8.383838383838384,8.926359875475834
8.484848484848484,8.702782619417397
8.585858585858587,8.635082193890312
8.686868686868687,8.935485407838165
8.787878787878787,8.504542793021804
8.88888888888889,9.400959709993362
8.98989898989899,9.396930659258954
9.09090909090909,9.362492489022735
9.191919191919192,9.168207139221684
9.292929292929292,9.703453115981269
9.393939393939394,9.687642182048625
9.494949494949495,9.68734058262903
9.595959595959595,10.09272991636672
9.696969696969697,9.857368373514786
9.797979797979798,9.63710849980293
9.8989898989899,9.962403386770434
10.0,9.635656692040165
